"","len","cluster"
"1",67,"1"
"2",130,"1"
"3",122,"1"
"4",165,"1"
"5",48,"1"
"6",134,"1"
"7",151,"1"
"8",40,"1"
"9",123,"1"
"10",142,"1"
"11",125,"1"
"12",135,"1"
"13",72,"1"
"14",103,"1"
"15",127,"1"
"16",131,"1"
"17",36,"1"
"18",123,"1"
"19",34,"1"
"20",38,"1"
"21",163,"1"
"22",122,"1"
"23",38,"1"
"24",120,"1"
"25",161,"1"
"26",71,"1"
"27",45,"1"
"28",122,"1"
"29",132,"1"
"30",147,"1"
"31",50,"1"
"32",77,"1"
"33",138,"1"
"34",40,"1"
"35",57,"1"
"36",128,"1"
"37",125,"1"
"38",161,"1"
"39",122,"1"
"40",164,"1"
"41",133,"1"
"42",133,"1"
"43",153,"1"
"44",181,"1"
"45",136,"1"
"46",122,"1"
"47",36,"1"
"48",156,"1"
"49",40,"1"
"50",34,"1"
"51",43,"1"
"52",67,"1"
"53",119,"1"
"54",385,"2"
"55",136,"1"
"56",89,"1"
"57",123,"1"
"58",47,"1"
"59",53,"1"
"60",38,"1"
"61",125,"1"
"62",161,"1"
"63",131,"1"
"64",36,"1"
"65",165,"1"
"66",120,"1"
"67",217,"2"
"68",29,"1"
"69",107,"1"
"70",122,"1"
"71",87,"1"
"72",116,"1"
"73",138,"1"
"74",122,"1"
"75",126,"1"
"76",216,"2"
"77",120,"1"
"78",120,"1"
"79",125,"1"
"80",48,"1"
"81",37,"1"
"82",122,"1"
"83",153,"1"
"84",122,"1"
"85",197,"2"
"86",98,"1"
"87",85,"1"
"88",81,"1"
"89",37,"1"
"90",35,"1"
"91",128,"1"
"92",47,"1"
"93",142,"1"
"94",114,"1"
"95",317,"2"
"96",128,"1"
"97",125,"1"
"98",48,"1"
"99",130,"1"
"100",122,"1"
"101",127,"1"
"102",125,"1"
"103",35,"1"
"104",122,"1"
"105",146,"1"
"106",35,"1"
"107",35,"1"
"108",140,"1"
"109",129,"1"
"110",152,"1"
"111",30,"1"
"112",52,"1"
"113",37,"1"
"114",131,"1"
"115",128,"1"
"116",43,"1"
"117",36,"1"
"118",79,"1"
"119",31,"1"
"120",34,"1"
"121",38,"1"
"122",161,"1"
"123",41,"1"
"124",42,"1"
"125",257,"2"
"126",47,"1"
"127",188,"2"
"128",325,"2"
"129",138,"1"
"130",174,"1"
"131",119,"1"
"132",133,"1"
"133",138,"1"
"134",129,"1"
"135",137,"1"
"136",118,"1"
"137",54,"1"
"138",125,"1"
"139",139,"1"
"140",130,"1"
"141",125,"1"
"142",128,"1"
"143",141,"1"
"144",122,"1"
"145",128,"1"
"146",61,"1"
"147",43,"1"
"148",125,"1"
"149",121,"1"
"150",123,"1"
"151",87,"1"
"152",127,"1"
"153",150,"1"
"154",148,"1"
"155",64,"1"
"156",123,"1"
"157",125,"1"
"158",49,"1"
"159",42,"1"
"160",126,"1"
"161",154,"1"
"162",151,"1"
"163",76,"1"
"164",115,"1"
"165",148,"1"
"166",59,"1"
"167",36,"1"
"168",42,"1"
"169",181,"1"
"170",106,"1"
"171",154,"1"
"172",49,"1"
"173",64,"1"
"174",142,"1"
"175",76,"1"
"176",168,"1"
"177",36,"1"
"178",93,"1"
"179",39,"1"
"180",39,"1"
"181",157,"1"
"182",63,"1"
"183",796,"2"
"184",543,"2"
"185",159,"1"
"186",205,"2"
"187",764,"2"
"188",462,"2"
"189",191,"2"
"190",171,"1"
"191",53,"1"
"192",61,"1"
"193",140,"1"
"194",123,"1"
"195",74,"1"
"196",271,"2"
"197",173,"1"
"198",203,"2"
"199",75,"1"
"200",375,"2"
"201",204,"2"
"202",205,"2"
"203",46,"1"
"204",295,"2"
"205",236,"2"
"206",61,"1"
"207",124,"1"
"208",140,"1"
"209",140,"1"
"210",161,"1"
"211",134,"1"
"212",136,"1"
"213",159,"1"
"214",128,"1"
"215",130,"1"
