small_category,category,big_category,brand,prod_nm
cat9,cat9,catE,sulhwasoo,핸드워시 백은향
cat4,cat4,catB,sulhwasoo,퍼펙팅 쿠션 SPF+/PA+++
cat4,cat4,catB,sulhwasoo,퍼펙팅 스킨커버 SPF/PA++
cat2,cat2,catA,sulhwasoo,진설수
cat2,cat2,catA,sulhwasoo,진설유액
cat2,cat2,catA,sulhwasoo,진설에센스
cat2,cat2,catA,sulhwasoo,진설크림
cat4,cat4,catB,sulhwasoo,자정 브라이트닝 쿠션 SPF+/PA+++
cat2,cat2,catA,sulhwasoo,설린에센스
cat2,cat2,catA,sulhwasoo,탄력크림
cat2,cat2,catA,sulhwasoo,설린아이크림
cat4,cat4,catB,sulhwasoo,진설 세럼 쿠션 SPF+/PA+++
cat2,cat2,catA,sulhwasoo,윤조&자음생 안티에이징 스페셜 리추얼세트
cat4,cat4,catB,sulhwasoo,진설 세럼 파운데이션 SPF/PA++
cat2,cat2,catA,sulhwasoo,윤조에센스 뷰티 시크릿 에디션
cat2,cat2,catA,sulhwasoo,탄력에센셜종 지함보
cat4,cat4,catB,sulhwasoo,퍼펙팅파운데이션 C + 산수화 브러쉬 세트
cat4,cat4,catB,sulhwasoo,퍼펙팅파운데이션 N + 산수화 브러쉬 세트
cat4,cat4,catB,sulhwasoo,퍼펙팅파운데이션 W + 산수화 브러쉬 세트
cat4,cat4,catB,sulhwasoo,퍼펙팅 베일 베이스 SPF/PA++
cat3,cat3,catA,sulhwasoo,상백선크림 썸머키트
cat2,cat2,catA,sulhwasoo,자정미백에센스
cat9,cat9,catE,sulhwasoo,핸드크림 백은향
cat10,cat10,catE,sulhwasoo,동백윤모오일
cat2,cat2,catA,sulhwasoo,여윤팩
cat2,cat2,catA,sulhwasoo,윤조마스크
cat2,cat2,catA,sulhwasoo,설린크림
cat4,cat4,catB,sulhwasoo,퍼펙팅 트윈케이크 SPF/PA+++
cat2,cat2,catA,sulhwasoo,진설마스크
cat9,cat9,catE,sulhwasoo,바디로션 백은향
cat2,cat2,catA,sulhwasoo,자음생에센스
cat1,cat1,catA,sulhwasoo,궁중비누 레귤러세트
cat2,cat2,catA,sulhwasoo,진설아이크림
cat4,cat4,catB,sulhwasoo,진설 파우더 팩트
cat2,cat2,catA,sulhwasoo,자정미백크림
cat2,cat2,catA,sulhwasoo,설린수
cat2,cat2,catA,sulhwasoo,윤조에센스
cat4,cat4,catB,sulhwasoo,메이크업밸런서 SPF PA++
cat9,cat9,catE,sulhwasoo,바디워시 백은향
cat2,cat2,catA,sulhwasoo,백삼팩
cat2,cat2,catA,sulhwasoo,자음생마스크
cat2,cat2,catA,sulhwasoo,수율크림
cat2,cat2,catA,sulhwasoo,자음생아이크림
cat2,cat2,catA,sulhwasoo,자음생수
cat2,cat2,catA,sulhwasoo,자음생유액
cat3,cat3,catA,sulhwasoo,상백선크림 듀오세트 SPF+/PA++++
cat5,cat5,catC,sulhwasoo,에센셜 립세럼 스틱
cat1,cat1,catA,sulhwasoo,순행클렌징폼 리필 세트
cat2,cat2,catA,sulhwasoo,섬리안크림
cat2,cat2,catA,sulhwasoo,옥용팩
cat2,cat2,catA,sulhwasoo,진초팩
cat2,cat2,catA,sulhwasoo,자음생앰플
cat4,cat4,catB,sulhwasoo,퍼펙팅 파우더
cat9,cat9,catE,sulhwasoo,트래블키트 백은향
cat2,cat2,catA,sulhwasoo,자정유액
cat4,cat4,catB,sulhwasoo,퍼펙팅 파운데이션 SPF/PA+
cat2,cat2,catA,sulhwasoo,자정수
cat1,cat1,catA,sulhwasoo,순행클렌징오일
cat2,cat2,catA,sulhwasoo,자음유액
cat1,cat1,catA,sulhwasoo,순행클렌징폼
cat2,cat2,catA,sulhwasoo,자음수
cat3,cat3,catA,sulhwasoo,상백선크림 SPF+/PA++++
cat3,cat3,catA,sulhwasoo,본윤선크림 SPF+/PA++++
cat2,cat2,catA,sulhwasoo,진설아이에센스
cat1,cat1,catA,sulhwasoo,진설클렌징폼
cat2,cat2,catA,sulhwasoo,본윤에센스
cat4,cat4,catB,sulhwasoo,퍼펙팅 파운데이션 글로우 SPF/PA+
cat9,cat9,catE,sulhwasoo,핸드크림 금윤향
